,price,mileage,transmission,model,year,fuelType,tax,mpg,engineSize,cluster
109,13084,40807,1,2,2015,1,200,41.5,2.0,2
110,4852,61350,1,1,2012,0,0,68.9,1.6,3
111,9907,19519,1,1,2016,1,0,65.7,1.0,0
112,7935,45018,1,1,2016,1,0,65.7,1.0,2
113,11913,18639,1,1,2018,1,145,62.8,1.0,0
114,6913,41148,1,1,2013,1,0,65.7,1.0,2
115,13815,48628,1,2,2016,0,20,67.3,2.0,2
116,10999,16613,1,1,2017,1,145,62.8,1.0,0
117,12787,39772,1,2,2015,0,20,67.3,2.0,2
118,8699,7973,1,1,2016,1,0,65.7,1.0,0
119,7147,32780,1,1,2016,1,0,65.7,1.0,2
120,6934,42020,1,1,2014,1,0,65.7,1.0,2
121,9999,14063,1,1,2016,1,0,65.7,1.0,0
122,6540,27550,1,1,2013,1,30,54.3,1.2,2
123,8244,19453,1,1,2016,0,0,78.5,1.5,0
124,9545,33190,0,2,2016,0,20,67.3,1.5,2
125,22499,21000,1,2,2016,1,235,36.7,2.3,0
126,17098,22431,1,2,2017,0,145,67.3,2.0,0
127,9491,30380,1,2,2016,0,0,74.3,1.5,2
128,8199,33196,1,0,2016,1,160,44.8,1.5,2
129,5899,46314,1,1,2014,1,30,54.3,1.2,2
130,7132,29639,1,1,2014,1,30,54.3,1.2,2
131,10449,17468,1,1,2017,0,0,78.5,1.5,0
132,12499,52492,1,2,2017,1,145,50.4,1.5,2
133,9299,18328,1,1,2016,0,0,88.3,1.5,0
134,8105,32268,1,1,2016,1,0,65.7,1.0,2
135,7763,29435,1,1,2017,1,145,54.3,1.2,2
136,11318,40402,1,2,2014,1,235,39.2,2.0,2
137,6790,60918,1,1,2014,1,0,65.7,1.0,3
138,19000,5310,0,2,2019,1,145,46.3,1.5,0
139,9995,22607,1,1,2016,1,0,65.7,1.0,0
140,9293,33872,1,1,2014,1,150,47.9,1.6,2
141,4431,41485,1,1,2012,0,0,76.4,1.6,2
142,10999,31620,1,1,2018,0,145,58.9,1.5,2
143,13449,15250,1,2,2018,1,145,57.7,1.0,0
144,18199,13000,1,2,2017,1,145,41.5,2.0,0
